# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 -6.354912e-09 -2.466047e-08 0.000000e+00 0.000000e+00 7.786030e-10 2.364786e-08
2.154435e+02 -1.214661e-08 -4.579836e-08 0.000000e+00 0.000000e+00 1.935288e-09 4.997491e-08
4.641589e+02 -2.174064e-08 -8.760980e-08 0.000000e+00 0.000000e+00 4.572619e-09 1.057468e-07
1.000000e+03 -4.327156e-08 -1.714174e-07 0.000000e+00 0.000000e+00 1.222669e-08 2.241426e-07
2.154435e+03 -1.024156e-07 -3.308469e-07 0.000000e+00 0.000000e+00 3.859916e-08 4.728967e-07
4.641589e+03 -2.615205e-07 -5.977979e-07 0.000000e+00 0.000000e+00 1.300301e-07 9.796694e-07
1.000000e+04 -6.244990e-07 -9.625696e-07 0.000000e+00 0.000000e+00 4.163569e-07 1.955832e-06
2.154435e+04 -1.325009e-06 -1.305005e-06 0.000000e+00 0.000000e+00 1.213753e-06 3.681980e-06
4.641589e+04 -2.410667e-06 -1.266100e-06 0.000000e+00 0.000000e+00 3.151767e-06 6.329080e-06
1.000000e+05 -3.515264e-06 -2.924879e-07 0.000000e+00 0.000000e+00 7.071140e-06 9.527956e-06
1.000000e+02 0.000000e+00 0.000000e+00 -6.393970e-09 -3.422855e-08 0.000000e+00 0.000000e+00
2.154435e+02 0.000000e+00 0.000000e+00 -1.227634e-08 -6.637276e-08 0.000000e+00 0.000000e+00
4.641589e+02 0.000000e+00 0.000000e+00 -2.216527e-08 -1.318345e-07 0.000000e+00 0.000000e+00
1.000000e+03 0.000000e+00 0.000000e+00 -4.479510e-08 -2.664509e-07 0.000000e+00 0.000000e+00
2.154435e+03 0.000000e+00 0.000000e+00 -1.084150e-07 -5.347430e-07 0.000000e+00 0.000000e+00
4.641589e+03 0.000000e+00 0.000000e+00 -2.857566e-07 -1.032777e-06 0.000000e+00 0.000000e+00
1.000000e+04 0.000000e+00 0.000000e+00 -7.182658e-07 -1.877009e-06 0.000000e+00 0.000000e+00
2.154435e+04 0.000000e+00 0.000000e+00 -1.659787e-06 -3.169316e-06 0.000000e+00 0.000000e+00
4.641589e+04 0.000000e+00 0.000000e+00 -3.483714e-06 -4.852169e-06 0.000000e+00 0.000000e+00
1.000000e+05 0.000000e+00 0.000000e+00 -6.496739e-06 -6.540802e-06 0.000000e+00 0.000000e+00
1.000000e+02 -7.786030e-10 -2.364786e-08 0.000000e+00 0.000000e+00 -1.274888e-08 -5.888902e-08
2.154435e+02 -1.935288e-09 -4.997491e-08 0.000000e+00 0.000000e+00 -2.442294e-08 -1.121711e-07
4.641589e+02 -4.572619e-09 -1.057468e-07 0.000000e+00 0.000000e+00 -4.390591e-08 -2.194443e-07
1.000000e+03 -1.222669e-08 -2.241426e-07 0.000000e+00 0.000000e+00 -8.806666e-08 -4.378683e-07
2.154435e+03 -3.859916e-08 -4.728967e-07 0.000000e+00 0.000000e+00 -2.108307e-07 -8.655898e-07
4.641589e+03 -1.300301e-07 -9.796694e-07 0.000000e+00 0.000000e+00 -5.472770e-07 -1.630575e-06
1.000000e+04 -4.163569e-07 -1.955832e-06 0.000000e+00 0.000000e+00 -1.342765e-06 -2.839579e-06
2.154435e+04 -1.213753e-06 -3.681980e-06 0.000000e+00 0.000000e+00 -2.984795e-06 -4.474322e-06
4.641589e+04 -3.151767e-06 -6.329080e-06 0.000000e+00 0.000000e+00 -5.894382e-06 -6.118269e-06
1.000000e+05 -7.071140e-06 -9.527956e-06 0.000000e+00 0.000000e+00 -1.001200e-05 -6.833289e-06
