# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 -6.195227e-09 -2.509292e-08 -1.297449e-12 1.140091e-12 7.733141e-10 2.381583e-08
2.154435e+02 -1.218449e-08 -4.651629e-08 -1.361814e-11 1.263203e-12 1.993203e-09 5.031063e-08
4.641589e+02 -2.202333e-08 -8.875636e-08 6.193733e-13 3.221160e-13 4.628031e-09 1.064381e-07
1.000000e+03 -4.384737e-08 -1.734027e-07 1.969838e-11 -2.634939e-12 1.237900e-08 2.255373e-07
2.154435e+03 -1.033413e-07 -3.345417e-07 -1.297594e-11 2.958640e-12 3.884575e-08 4.757523e-07
4.641589e+03 -2.632477e-07 -6.053132e-07 -1.591414e-11 4.551486e-12 1.304759e-07 9.857112e-07
1.000000e+04 -6.294688e-07 -9.771056e-07 1.327866e-12 6.104132e-14 4.177254e-07 1.968600e-06
2.154435e+04 -1.337763e-06 -1.329830e-06 6.300181e-13 3.150755e-13 1.218046e-06 3.707806e-06
4.641589e+04 -2.439552e-06 -1.303594e-06 6.531236e-12 -3.184911e-12 3.163879e-06 6.379622e-06
1.000000e+05 -3.572931e-06 -3.387207e-07 2.997442e-12 -1.925914e-12 7.103732e-06 9.622794e-06
1.000000e+02 6.645085e-12 -1.176577e-12 -6.441591e-09 -3.484794e-08 -7.489944e-12 1.318161e-12
2.154435e+02 -3.520622e-12 6.362351e-13 -1.258187e-08 -6.740457e-08 7.260558e-12 -1.354279e-12
4.641589e+02 -7.885989e-12 1.383579e-12 -2.277615e-08 -1.334820e-07 1.264621e-12 -2.305005e-13
1.000000e+03 7.758067e-12 -1.292679e-12 -4.561784e-08 -2.694617e-07 2.126038e-11 -3.592855e-12
2.154435e+03 -2.074987e-12 4.121134e-13 -1.096131e-07 -5.407372e-07 -3.746215e-12 7.900222e-13
4.641589e+03 -4.731217e-12 1.315762e-12 -2.879508e-07 -1.045057e-06 -4.349708e-12 1.233747e-12
1.000000e+04 5.192372e-12 -1.967548e-12 -7.239261e-07 -1.901586e-06 2.788733e-12 -1.033482e-12
2.154435e+04 2.818293e-12 -1.455425e-12 -1.674060e-06 -3.215987e-06 3.616006e-12 -1.858667e-12
4.641589e+04 1.273897e-12 -8.873060e-13 -3.519757e-06 -4.934872e-06 -3.075113e-13 3.093650e-13
1.000000e+05 8.647525e-14 -5.688261e-14 -6.575118e-06 -6.675956e-06 -9.433519e-13 1.026824e-12
1.000000e+02 -8.025291e-10 -2.386525e-08 -1.467509e-11 2.338216e-12 -1.295669e-08 -5.941043e-08
2.154435e+02 -1.968644e-09 -5.043468e-08 1.904078e-11 -4.778408e-12 -2.493176e-08 -1.130425e-07
4.641589e+02 -4.658693e-09 -1.066962e-07 -6.510521e-12 1.015312e-12 -4.471863e-08 -2.208235e-07
1.000000e+03 -1.237672e-08 -2.261079e-07 -1.280413e-11 4.100464e-12 -8.928423e-08 -4.400819e-07
2.154435e+03 -3.895308e-08 -4.769601e-07 -3.290452e-12 -1.146229e-12 -2.122669e-07 -8.695362e-07
4.641589e+03 -1.308001e-07 -9.882200e-07 -5.147587e-14 -2.677241e-12 -5.491651e-07 -1.639089e-06
1.000000e+04 -4.187239e-07 -1.973646e-06 -5.068145e-12 2.059228e-12 -1.348205e-06 -2.856807e-06
2.154435e+04 -1.221026e-06 -3.717280e-06 -4.330064e-12 2.189697e-12 -2.998346e-06 -4.503703e-06
4.641589e+04 -3.171466e-06 -6.396063e-06 -6.748113e-12 6.294519e-12 -5.922529e-06 -6.166236e-06
1.000000e+05 -7.120683e-06 -9.648599e-06 -3.071145e-12 3.815886e-12 -1.006827e-05 -6.905743e-06
