# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 -4.704282e-06 -3.642927e-08 0.000000e+00 0.000000e+00 -1.406461e-05 4.078605e-08
2.154435e+02 -4.710426e-06 -7.145762e-08 0.000000e+00 0.000000e+00 -1.406303e-05 8.684943e-08
4.641589e+02 -4.724484e-06 -1.435322e-07 0.000000e+00 0.000000e+00 -1.405820e-05 1.851087e-07
1.000000e+03 -4.766560e-06 -2.855568e-07 0.000000e+00 0.000000e+00 -1.404067e-05 3.931031e-07
2.154435e+03 -4.888813e-06 -5.360419e-07 0.000000e+00 0.000000e+00 -1.397706e-05 8.224772e-07
4.641589e+03 -5.184094e-06 -9.083020e-07 0.000000e+00 0.000000e+00 -1.377043e-05 1.667768e-06
1.000000e+04 -5.786497e-06 -1.344245e-06 0.000000e+00 0.000000e+00 -1.317511e-05 3.220966e-06
2.154435e+04 -6.821828e-06 -1.588282e-06 0.000000e+00 0.000000e+00 -1.165467e-05 5.773323e-06
4.641589e+04 -8.146005e-06 -1.120847e-06 0.000000e+00 0.000000e+00 -8.349012e-06 9.276703e-06
1.000000e+05 -9.034448e-06 5.331545e-07 0.000000e+00 0.000000e+00 -2.492023e-06 1.289457e-05
1.000000e+02 0.000000e+00 0.000000e+00 9.362957e-06 -5.337072e-08 0.000000e+00 0.000000e+00
2.154435e+02 0.000000e+00 0.000000e+00 9.356637e-06 -1.079111e-07 0.000000e+00 0.000000e+00
4.641589e+02 0.000000e+00 0.000000e+00 9.341890e-06 -2.219462e-07 0.000000e+00 0.000000e+00
1.000000e+03 0.000000e+00 0.000000e+00 9.296923e-06 -4.540350e-07 0.000000e+00 0.000000e+00
2.154435e+03 0.000000e+00 0.000000e+00 9.162612e-06 -8.965002e-07 0.000000e+00 0.000000e+00
4.641589e+03 0.000000e+00 0.000000e+00 8.820256e-06 -1.670821e-06 0.000000e+00 0.000000e+00
1.000000e+04 0.000000e+00 0.000000e+00 8.050188e-06 -2.919168e-06 0.000000e+00 0.000000e+00
2.154435e+04 0.000000e+00 0.000000e+00 6.480488e-06 -4.695180e-06 0.000000e+00 0.000000e+00
4.641589e+04 0.000000e+00 0.000000e+00 3.691990e-06 -6.781207e-06 0.000000e+00 0.000000e+00
1.000000e+05 0.000000e+00 0.000000e+00 -4.895143e-07 -8.606458e-06 0.000000e+00 0.000000e+00
1.000000e+02 1.406461e-05 -4.078605e-08 0.000000e+00 0.000000e+00 4.658675e-06 -8.979999e-08
2.154435e+02 1.406303e-05 -8.684943e-08 0.000000e+00 0.000000e+00 4.646211e-06 -1.793687e-07
4.641589e+02 1.405820e-05 -1.851087e-07 0.000000e+00 0.000000e+00 4.617406e-06 -3.654784e-07
1.000000e+03 1.404067e-05 -3.931031e-07 0.000000e+00 0.000000e+00 4.530363e-06 -7.395918e-07
2.154435e+03 1.397706e-05 -8.224772e-07 0.000000e+00 0.000000e+00 4.273799e-06 -1.432542e-06
4.641589e+03 1.377043e-05 -1.667768e-06 0.000000e+00 0.000000e+00 3.636162e-06 -2.579123e-06
1.000000e+04 1.317511e-05 -3.220966e-06 0.000000e+00 0.000000e+00 2.263692e-06 -4.263413e-06
2.154435e+04 1.165467e-05 -5.773323e-06 0.000000e+00 0.000000e+00 -3.413398e-07 -6.283462e-06
4.641589e+04 8.349012e-06 -9.276703e-06 0.000000e+00 0.000000e+00 -4.454014e-06 -7.902054e-06
1.000000e+05 2.492023e-06 -1.289457e-05 0.000000e+00 0.000000e+00 -9.523962e-06 -8.073303e-06
