# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 -4.683127e-06 -3.141203e-08 2.175622e-11 1.263228e-09 -1.405942e-05 4.522597e-08
2.154435e+02 -4.689394e-06 -7.095429e-08 -9.840201e-12 -6.226244e-10 -1.405780e-05 9.028444e-08
4.641589e+02 -4.703576e-06 -1.419096e-07 3.117541e-11 1.667299e-10 -1.405302e-05 1.854951e-07
1.000000e+03 -4.745830e-06 -2.894738e-07 2.966411e-11 -1.779661e-10 -1.403542e-05 3.956558e-07
2.154435e+03 -4.868302e-06 -5.423506e-07 -9.779784e-12 1.229837e-10 -1.397187e-05 8.269134e-07
4.641589e+03 -5.164765e-06 -9.217599e-07 -1.037457e-11 4.897998e-12 -1.376516e-05 1.677888e-06
1.000000e+04 -5.771721e-06 -1.371497e-06 -3.593714e-12 4.132689e-12 -1.316931e-05 3.242404e-06
2.154435e+04 -6.820065e-06 -1.638423e-06 -4.744534e-12 -7.535304e-12 -1.164661e-05 5.819063e-06
4.641589e+04 -8.175573e-06 -1.202792e-06 -5.340493e-12 -5.188894e-12 -8.332264e-06 9.373257e-06
1.000000e+05 -9.127687e-06 4.247260e-07 2.193465e-12 -6.554222e-13 -2.437653e-06 1.309090e-05
1.000000e+02 1.880430e-11 2.502113e-09 9.373821e-06 -6.159094e-08 -8.571445e-12 -7.830111e-10
2.154435e+02 1.152318e-11 1.001712e-09 9.367364e-06 -1.085692e-07 8.907394e-12 6.521256e-10
4.641589e+02 -1.032404e-11 -4.317878e-10 9.352486e-06 -2.234385e-07 -6.336977e-12 -2.905617e-10
1.000000e+03 1.757168e-11 3.515207e-10 9.307322e-06 -4.591817e-07 -4.814611e-12 -9.653719e-11
2.154435e+03 8.928897e-12 8.914218e-11 9.172307e-06 -9.078158e-07 -2.375751e-11 -2.370218e-10
4.641589e+03 2.087467e-12 8.746282e-12 8.827925e-06 -1.693800e-06 -1.933205e-11 -1.002666e-10
1.000000e+04 1.127028e-11 3.136903e-11 8.052406e-06 -2.965260e-06 -1.151970e-11 -3.008726e-11
2.154435e+04 8.276909e-12 1.144742e-11 6.466672e-06 -4.784676e-06 -5.182642e-12 -6.782739e-12
4.641589e+04 4.684447e-12 2.281498e-12 3.639492e-06 -6.942522e-06 -4.981036e-12 -2.795722e-12
1.000000e+05 -2.847377e-12 2.706860e-13 -6.322014e-07 -8.877948e-06 1.812349e-12 8.525663e-14
1.000000e+02 1.410171e-05 -4.267996e-08 -5.180640e-12 2.939454e-09 4.671433e-06 -9.635518e-08
2.154435e+02 1.410012e-05 -8.749611e-08 4.359107e-12 -6.202022e-10 4.658769e-06 -1.814781e-07
4.641589e+02 1.409518e-05 -1.891414e-07 4.051826e-12 1.707515e-09 4.629793e-06 -3.693828e-07
1.000000e+03 1.407770e-05 -3.957473e-07 2.129802e-11 1.087425e-09 4.542536e-06 -7.437551e-07
2.154435e+03 1.401378e-05 -8.300554e-07 -2.003024e-11 -3.019818e-10 4.285813e-06 -1.440741e-06
4.641589e+03 1.380630e-05 -1.683511e-06 -6.221350e-12 -8.892925e-11 3.646425e-06 -2.596344e-06
1.000000e+04 1.320844e-05 -3.253060e-06 -4.055480e-12 -2.408823e-11 2.268695e-06 -4.296522e-06
2.154435e+04 1.168080e-05 -5.838089e-06 3.411304e-12 -3.993559e-12 -3.483245e-07 -6.345236e-06
4.641589e+04 8.355677e-06 -9.403946e-06 4.751217e-12 -2.288849e-12 -4.488570e-06 -8.012182e-06
1.000000e+05 2.442671e-06 -1.313379e-05 -5.165289e-15 1.825472e-12 -9.623845e-06 -8.255183e-06
