# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 -6.222195e-15 -1.292897e-12 0.000000e+00 0.000000e+00 5.093045e-15 1.058273e-12
2.154435e+02 -2.887816e-14 -2.785215e-12 0.000000e+00 0.000000e+00 2.363760e-14 2.279778e-12
4.641589e+02 -1.339821e-13 -5.998098e-12 0.000000e+00 0.000000e+00 1.096682e-13 4.909616e-12
1.000000e+03 -6.206348e-13 -1.289792e-11 0.000000e+00 0.000000e+00 5.080074e-13 1.055732e-11
2.154435e+03 -2.853999e-12 -2.754463e-11 0.000000e+00 0.000000e+00 2.336080e-12 2.254607e-11
4.641589e+03 -1.270050e-11 -5.703555e-11 0.000000e+00 0.000000e+00 1.039572e-11 4.668524e-11
1.000000e+04 -4.950450e-11 -1.043559e-10 0.000000e+00 0.000000e+00 4.052086e-11 8.541828e-11
2.154435e+04 -1.326701e-10 -1.360972e-10 0.000000e+00 0.000000e+00 1.085943e-10 1.113995e-10
4.641589e+04 -2.155761e-10 -1.195103e-10 0.000000e+00 0.000000e+00 1.764552e-10 9.782261e-11
1.000000e+05 -2.692647e-10 -9.173080e-11 0.000000e+00 0.000000e+00 2.204009e-10 7.508429e-11
1.000000e+02 0.000000e+00 0.000000e+00 -6.933519e-15 -1.440701e-12 0.000000e+00 0.000000e+00
2.154435e+02 0.000000e+00 0.000000e+00 -3.217952e-14 -3.103622e-12 0.000000e+00 0.000000e+00
4.641589e+02 0.000000e+00 0.000000e+00 -1.492990e-13 -6.683804e-12 0.000000e+00 0.000000e+00
1.000000e+03 0.000000e+00 0.000000e+00 -6.915861e-13 -1.437242e-11 0.000000e+00 0.000000e+00
2.154435e+03 0.000000e+00 0.000000e+00 -3.180270e-12 -3.069354e-11 0.000000e+00 0.000000e+00
4.641589e+03 0.000000e+00 0.000000e+00 -1.415242e-11 -6.355589e-11 0.000000e+00 0.000000e+00
1.000000e+04 0.000000e+00 0.000000e+00 -5.516389e-11 -1.162859e-10 0.000000e+00 0.000000e+00
2.154435e+04 0.000000e+00 0.000000e+00 -1.478370e-10 -1.516559e-10 0.000000e+00 0.000000e+00
4.641589e+04 0.000000e+00 0.000000e+00 -2.402209e-10 -1.331728e-10 0.000000e+00 0.000000e+00
1.000000e+05 0.000000e+00 0.000000e+00 -3.000472e-10 -1.022175e-10 0.000000e+00 0.000000e+00
1.000000e+02 -5.093045e-15 -1.058273e-12 0.000000e+00 0.000000e+00 -2.673585e-14 -5.555385e-12
2.154435e+02 -2.363760e-14 -2.279778e-12 0.000000e+00 0.000000e+00 -1.240852e-13 -1.196766e-11
4.641589e+02 -1.096682e-13 -4.909616e-12 0.000000e+00 0.000000e+00 -5.757013e-13 -2.577294e-11
1.000000e+03 -5.080074e-13 -1.055732e-11 0.000000e+00 0.000000e+00 -2.666776e-12 -5.542045e-11
2.154435e+03 -2.336080e-12 -2.254607e-11 0.000000e+00 0.000000e+00 -1.226321e-11 -1.183552e-10
4.641589e+03 -1.039572e-11 -4.668524e-11 0.000000e+00 0.000000e+00 -5.457215e-11 -2.450733e-10
1.000000e+04 -4.052086e-11 -8.541828e-11 0.000000e+00 0.000000e+00 -2.127135e-10 -4.484017e-10
2.154435e+04 -1.085943e-10 -1.113995e-10 0.000000e+00 0.000000e+00 -5.700638e-10 -5.847897e-10
4.641589e+04 -1.764552e-10 -9.782261e-11 0.000000e+00 0.000000e+00 -9.262986e-10 -5.135180e-10
1.000000e+05 -2.204009e-10 -7.508429e-11 0.000000e+00 0.000000e+00 -1.156991e-09 -3.941537e-10
