# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 -6.799509e-15 -1.420810e-12 1.073993e-16 1.384500e-19 5.680153e-15 1.120477e-12
2.154435e+02 -2.902751e-14 -3.060800e-12 5.124294e-16 -5.383533e-18 2.588332e-14 2.413776e-12
4.641589e+02 -1.391029e-13 -6.591733e-12 4.705880e-16 -9.987007e-18 1.139377e-13 5.198270e-12
1.000000e+03 -6.415558e-13 -1.417621e-11 6.575851e-16 -2.949647e-17 5.281507e-13 1.117855e-11
2.154435e+03 -2.951013e-12 -3.029175e-11 9.830959e-16 -9.604744e-17 2.426345e-12 2.387824e-11
4.641589e+03 -1.313008e-11 -6.289023e-11 7.230514e-16 -1.494850e-16 1.080460e-11 4.949481e-11
1.000000e+04 -5.125279e-11 -1.164452e-10 7.846322e-17 -3.488988e-17 4.218409e-11 9.097827e-11
2.154435e+04 -1.382008e-10 -1.593089e-10 -3.188005e-16 2.888359e-16 1.138844e-10 1.206808e-10
4.641589e+04 -2.278113e-10 -1.610393e-10 -1.115066e-16 1.687677e-16 1.881943e-10 1.096756e-10
1.000000e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+02 -4.039308e-16 1.888151e-18 -8.304920e-15 -1.542063e-12 4.381720e-16 -2.112401e-18
2.154435e+02 3.209331e-16 -3.469975e-18 -3.402299e-14 -3.321999e-12 3.539967e-17 -4.097898e-19
4.641589e+02 -5.232341e-16 1.128381e-17 -1.538630e-13 -7.154234e-12 -4.156179e-17 7.653844e-19
1.000000e+03 9.016933e-17 -4.115702e-18 -7.130450e-13 -1.538524e-11 3.876611e-16 -1.814982e-17
2.154435e+03 -2.369606e-16 2.361123e-17 -3.278204e-12 -3.286898e-11 1.204047e-16 -1.214992e-17
4.641589e+03 6.023119e-17 -1.283521e-17 -1.459395e-11 -6.817914e-11 1.868113e-16 -4.044565e-17
1.000000e+04 -1.572048e-16 7.159643e-17 -5.697416e-11 -1.257241e-10 1.975323e-18 -1.424861e-18
2.154435e+04 -4.210025e-17 3.791314e-17 -1.536964e-10 -1.690945e-10 -8.911100e-17 8.035957e-17
4.641589e+04 -7.247486e-17 1.140969e-16 -2.535772e-10 -1.615989e-10 -3.311629e-17 5.153690e-17
1.000000e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+02 -5.981088e-15 -1.129304e-12 7.204010e-16 -7.314482e-18 -2.826698e-14 -5.840845e-12
2.154435e+02 -2.440573e-14 -2.432811e-12 1.932347e-15 -2.013114e-17 -1.271124e-13 -1.258265e-11
4.641589e+02 -1.173279e-13 -5.239178e-12 3.162285e-16 -7.697786e-18 -5.953826e-13 -2.709756e-11
1.000000e+03 -5.363764e-13 -1.126644e-11 1.514100e-15 -7.150644e-17 -2.757729e-12 -5.827110e-11
2.154435e+03 -2.442354e-12 -2.406672e-11 1.858653e-16 -1.876287e-17 -1.265796e-11 -1.244680e-10
4.641589e+03 -1.088948e-11 -4.988480e-11 1.468759e-15 -3.208313e-16 -5.635038e-11 -2.579627e-10
1.000000e+04 -4.251933e-11 -9.169311e-11 -2.195835e-17 1.011529e-17 -2.198590e-10 -4.739115e-10
2.154435e+04 -1.147843e-10 -1.216233e-10 7.120862e-16 -6.705919e-16 -5.919286e-10 -6.279834e-10
4.641589e+04 -1.896690e-10 -1.105274e-10 1.359607e-16 -2.285567e-16 -9.727397e-10 -5.740004e-10
1.000000e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
