# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 4.386141e-10 -1.484207e-12 0.000000e+00 0.000000e+00 -3.590182e-10 1.214866e-12
2.154435e+02 4.385946e-10 -3.197454e-12 0.000000e+00 0.000000e+00 -3.590023e-10 2.617208e-12
4.641589e+02 4.385041e-10 -6.886978e-12 0.000000e+00 0.000000e+00 -3.589282e-10 5.637189e-12
1.000000e+03 4.380847e-10 -1.482030e-11 0.000000e+00 0.000000e+00 -3.585849e-10 1.213085e-11
2.154435e+03 4.361528e-10 -3.175836e-11 0.000000e+00 0.000000e+00 -3.570036e-10 2.599513e-11
4.641589e+03 4.274954e-10 -6.677274e-11 0.000000e+00 0.000000e+00 -3.499172e-10 5.465540e-11
1.000000e+04 3.929483e-10 -1.297882e-10 0.000000e+00 0.000000e+00 -3.216395e-10 1.062354e-10
2.154435e+04 2.987385e-10 -1.997947e-10 0.000000e+00 0.000000e+00 -2.445261e-10 1.635377e-10
4.641589e+04 1.670921e-10 -2.255965e-10 0.000000e+00 0.000000e+00 -1.367697e-10 1.846572e-10
1.000000e+05 4.118797e-11 -2.188334e-10 0.000000e+00 0.000000e+00 -3.371354e-11 1.791214e-10
1.000000e+02 0.000000e+00 0.000000e+00 4.887567e-10 -1.653882e-12 0.000000e+00 0.000000e+00
2.154435e+02 0.000000e+00 0.000000e+00 4.887349e-10 -3.562988e-12 0.000000e+00 0.000000e+00
4.641589e+02 0.000000e+00 0.000000e+00 4.886341e-10 -7.674301e-12 0.000000e+00 0.000000e+00
1.000000e+03 0.000000e+00 0.000000e+00 4.881667e-10 -1.651457e-11 0.000000e+00 0.000000e+00
2.154435e+03 0.000000e+00 0.000000e+00 4.860140e-10 -3.538899e-11 0.000000e+00 0.000000e+00
4.641589e+03 0.000000e+00 0.000000e+00 4.763669e-10 -7.440623e-11 0.000000e+00 0.000000e+00
1.000000e+04 0.000000e+00 0.000000e+00 4.378704e-10 -1.446257e-10 0.000000e+00 0.000000e+00
2.154435e+04 0.000000e+00 0.000000e+00 3.328905e-10 -2.226353e-10 0.000000e+00 0.000000e+00
4.641589e+04 0.000000e+00 0.000000e+00 1.861941e-10 -2.513868e-10 0.000000e+00 0.000000e+00
1.000000e+05 0.000000e+00 0.000000e+00 4.589660e-11 -2.438506e-10 0.000000e+00 0.000000e+00
1.000000e+02 3.590182e-10 -1.214866e-12 0.000000e+00 0.000000e+00 1.884660e-09 -6.377416e-12
2.154435e+02 3.590023e-10 -2.617208e-12 0.000000e+00 0.000000e+00 1.884576e-09 -1.373898e-11
4.641589e+02 3.589282e-10 -5.637189e-12 0.000000e+00 0.000000e+00 1.884187e-09 -2.959232e-11
1.000000e+03 3.585849e-10 -1.213085e-11 0.000000e+00 0.000000e+00 1.882385e-09 -6.368065e-11
2.154435e+03 3.570036e-10 -2.599513e-11 0.000000e+00 0.000000e+00 1.874084e-09 -1.364610e-10
4.641589e+03 3.499172e-10 -5.465540e-11 0.000000e+00 0.000000e+00 1.836884e-09 -2.869126e-10
1.000000e+04 3.216395e-10 -1.062354e-10 0.000000e+00 0.000000e+00 1.688441e-09 -5.576807e-10
2.154435e+04 2.445261e-10 -1.635377e-10 0.000000e+00 0.000000e+00 1.283635e-09 -8.584881e-10
4.641589e+04 1.367697e-10 -1.846572e-10 0.000000e+00 0.000000e+00 7.179698e-10 -9.693546e-10
1.000000e+05 3.371354e-11 -1.791214e-10 0.000000e+00 0.000000e+00 1.769786e-10 -9.402948e-10
