# FREQUENCY HX_REAL HX_IMAG HY_REAL HY_IMAG HZ_REAL HZ_IMAG
1.000000e+02 4.681781e-10 -1.683247e-12 -2.558440e-16 -5.719400e-14 -3.880599e-10 1.390150e-12
2.154435e+02 4.681596e-10 -3.270053e-12 2.687602e-16 3.225408e-14 -3.880426e-10 2.919955e-12
4.641589e+02 4.680635e-10 -7.644023e-12 9.210322e-16 5.849363e-14 -3.879664e-10 6.015546e-12
1.000000e+03 4.676300e-10 -1.632568e-11 4.588911e-16 1.382574e-14 -3.876080e-10 1.298198e-11
2.154435e+03 4.656229e-10 -3.507870e-11 3.215145e-16 4.316180e-15 -3.859580e-10 2.782308e-11
4.641589e+03 4.566313e-10 -7.386307e-11 2.137278e-17 -5.569183e-17 -3.785544e-10 5.857673e-11
1.000000e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.154435e+04 3.215898e-10 -2.289510e-10 9.615787e-17 1.095095e-16 -2.672846e-10 1.781593e-10
4.641589e+04 1.798817e-10 -2.775388e-10 -1.606499e-16 -9.809694e-17 -1.500888e-10 2.060123e-10
1.000000e+05 4.056051e-11 -3.100807e-10 -8.015663e-17 -9.986985e-18 -3.434968e-11 2.056708e-10
1.000000e+02 -5.442503e-16 -2.020815e-13 5.218498e-10 -1.949617e-12 4.673531e-16 1.955729e-13
2.154435e+02 1.285129e-16 1.766770e-14 5.218290e-10 -3.743482e-12 9.577293e-17 1.323547e-14
4.641589e+02 -3.298138e-16 -2.114957e-14 5.217245e-10 -8.234154e-12 4.116900e-18 6.281878e-16
1.000000e+03 -9.587746e-17 -2.765052e-15 5.212402e-10 -1.780576e-11 -9.432496e-16 -2.768473e-14
2.154435e+03 -3.477994e-16 -4.737950e-15 5.190111e-10 -3.818145e-11 -4.401946e-16 -5.981772e-15
4.641589e+03 -5.393469e-17 -3.424212e-16 5.090177e-10 -8.036817e-11 4.674223e-17 2.887323e-16
1.000000e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.154435e+04 3.044666e-16 4.438102e-16 3.588873e-10 -2.464778e-10 2.539288e-16 3.691972e-16
4.641589e+04 -6.239528e-17 -4.301270e-17 2.011664e-10 -2.911615e-10 -4.163337e-17 -2.867842e-17
1.000000e+05 -5.166338e-17 -7.895150e-18 4.590248e-11 -3.068633e-10 -1.074812e-16 -1.568416e-17
1.000000e+02 3.910897e-10 -1.113770e-12 2.822317e-15 5.584119e-13 1.991578e-09 -5.823458e-12
2.154435e+02 3.910707e-10 -3.172208e-12 3.959935e-15 5.348837e-13 1.991493e-09 -1.409964e-11
4.641589e+02 3.909939e-10 -6.193537e-12 -6.167880e-16 -4.200364e-14 1.991086e-09 -3.144547e-11
1.000000e+03 3.906341e-10 -1.310085e-11 -3.319509e-15 -9.739096e-14 1.989214e-09 -6.781100e-11
2.154435e+03 3.889719e-10 -2.803824e-11 -2.187531e-16 -2.930036e-15 1.980590e-09 -1.453704e-10
4.641589e+03 3.815104e-10 -5.903318e-11 4.097570e-15 2.607099e-14 1.941940e-09 -3.058086e-10
1.000000e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.154435e+04 2.693612e-10 -1.795622e-10 1.597414e-15 2.348688e-15 1.361972e-09 -9.296504e-10
4.641589e+04 1.512510e-10 -2.076304e-10 -5.545514e-16 -3.931382e-16 7.549433e-10 -1.076807e-09
1.000000e+05 3.460504e-11 -2.072967e-10 -1.547439e-16 -2.414218e-17 1.594158e-10 -1.087067e-09
