
! GZINV3D started on: 10/22/2022  16:34:30

!    1  1.0000   !! mode, chifact
!   4.8142E-04   !! initial norm S
!   0.0000E+00   !! initial norm E
!   0.0000E+00   !! initial norm N
!   0.0000E+00   !! initial norm Z
!   4.8142E-04   !! initial norm total
!   3.5993E+04   !! initial misfit
!   4.4100E+02   !! target data misfit
!  2.500E-04  1.00      1.00      1.00       !! alpha values

! iter          beta   data misfit        norm S        norm E        norm N        norm Z    model norm  total objective  CG iterations  truncated cells
     1  1.102329E+05  2.862940E+03  3.322181E-02  2.100205E-03  2.192003E-03  1.159235E-03  3.867326E-02    7.126006E+03            20             0
     2  5.511647E+04  1.471131E+03  4.732011E-02  3.542351E-03  3.696327E-03  1.670058E-03  5.622884E-02    4.570267E+03            23             0
     3  2.755823E+04  7.943181E+02  6.024206E-02  5.264161E-03  5.503462E-03  2.136493E-03  7.314617E-02    2.810097E+03            22             0
     4  1.453514E+04  5.157748E+02  6.976130E-02  7.058235E-03  7.402034E-03  2.497625E-03  8.671920E-02    1.776250E+03            22             0
     5  1.162811E+04  4.595336E+02  7.249038E-02  7.772269E-03  8.157903E-03  2.612926E-03  9.103348E-02    1.518081E+03            23             0
     6  1.162811E+04  3.837294E+02  1.446356E-02  4.439414E-03  4.655163E-03  5.221052E-03  2.877919E-02    7.183770E+02            98             0
     7  1.336357E+04  3.927133E+02  1.208233E-02  4.450467E-03  4.649653E-03  5.174918E-03  2.635737E-02    7.449420E+02           101             0
     8  1.500671E+04  3.994142E+02  1.053245E-02  4.435990E-03  4.626990E-03  5.119361E-03  2.471479E-02    7.703019E+02           105             0
     9  1.656916E+04  4.045500E+02  9.417432E-03  4.413889E-03  4.600902E-03  5.067146E-03  2.349937E-02    7.939149E+02           108             0
    10  1.806205E+04  4.087717E+02  8.580126E-03  4.392830E-03  4.576653E-03  5.019060E-03  2.256867E-02    8.164081E+02           109             0
    11  1.948610E+04  4.123656E+02  7.934773E-03  4.372020E-03  4.555622E-03  4.977254E-03  2.183967E-02    8.379355E+02           109             0
    12  2.083920E+04  4.154177E+02  7.413173E-03  4.348368E-03  4.534286E-03  4.941305E-03  2.123713E-02    8.579825E+02           110             0
    13  2.212252E+04  4.180371E+02  6.973083E-03  4.327541E-03  4.511278E-03  4.906022E-03  2.071792E-02    8.763698E+02           110             0
    14  2.333771E+04  4.203478E+02  6.599388E-03  4.313644E-03  4.487247E-03  4.870624E-03  2.027090E-02    8.934243E+02           108             0

! GZINV3D ended on: 10/22/2022  16:42:27

