
! MAGINV3D started on: 10/20/2022  20:57:34

!    1  1.0000   !! mode, chifact
!   0.0000E+00   !! initial norm S
!   0.0000E+00   !! initial norm E
!   0.0000E+00   !! initial norm N
!   0.0000E+00   !! initial norm Z
!   0.0000E+00   !! initial norm total
!   4.0687E+04   !! initial misfit
!   4.4100E+02   !! target data misfit
!  5.000E-04  1.00      1.00      1.00       !! alpha values

! iter          beta   data misfit        norm S        norm E        norm N        norm Z    model norm  total objective  CG iterations  truncated cells
     1  2.577308E+07  2.286240E+04  2.455479E-04  6.850420E-06  9.029623E-06  1.083245E-05  2.722604E-04    2.987939E+04            20         10527
     2  1.288654E+07  1.588655E+04  5.891678E-04  1.991071E-05  2.499992E-05  2.788096E-05  6.619594E-04    2.441692E+04            19         22079
     3  6.443270E+06  9.510734E+03  1.199305E-03  4.919656E-05  5.891561E-05  5.928367E-05  1.366701E-03    1.831675E+04            18         34536
     4  3.221635E+06  4.871581E+03  2.058723E-03  1.004596E-04  1.161501E-04  1.030792E-04  2.378412E-03    1.253395E+04            18         47080
     5  1.610817E+06  2.205839E+03  3.013265E-03  1.701127E-04  1.909439E-04  1.512191E-04  3.525541E-03    7.884842E+03            17         55057
     6  8.054087E+05  9.763791E+02  3.860651E-03  2.454947E-04  2.692420E-04  1.966959E-04  4.572084E-03    4.658775E+03            16         59208
     7  4.096845E+05  4.909400E+02  4.486679E-03  3.208718E-04  3.463640E-04  2.342898E-04  5.388205E-03    2.698404E+03            16         60447
     8  3.686748E+05  4.470949E+02  4.567719E-03  3.332246E-04  3.588238E-04  2.393812E-04  5.499149E-03    2.474493E+03            17         56257
     9  3.686748E+05  2.752259E+02  2.340614E-03  2.351089E-04  2.421859E-04  2.150455E-04  3.032954E-03    1.393400E+03            64           119
    10  5.907350E+05  3.602694E+02  1.604101E-03  2.847235E-04  2.912116E-04  2.648282E-04  2.444864E-03    1.804536E+03            65             4
    11  7.231093E+05  3.927708E+02  1.234891E-03  3.078827E-04  3.140833E-04  2.881564E-04  2.145014E-03    1.943850E+03            78             1
    12  8.119014E+05  4.077818E+02  1.013733E-03  3.178239E-04  3.239239E-04  2.980061E-04  1.953487E-03    1.993820E+03            87             0
    13  8.780394E+05  4.164734E+02  8.692531E-04  3.216503E-04  3.274747E-04  3.014806E-04  1.819859E-03    2.014381E+03            94             0
    14  9.297480E+05  4.214318E+02  7.661974E-04  3.213716E-04  3.267313E-04  3.013707E-04  1.715671E-03    2.016574E+03            96             0

! MAGINV3D ended on: 10/20/2022  21:02:05

