# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 9.713157e-08 0.000000e+00 -2.721658e-08 -1.599192e-08 0.000000e+00 6.092398e-09
2.154435e-05 3.728002e-08 0.000000e+00 -7.578651e-09 -2.427214e-09 0.000000e+00 6.399637e-10
4.641589e-05 1.848800e-08 0.000000e+00 -3.119069e-09 -3.708568e-10 0.000000e+00 7.882534e-11
1.000000e-04 1.092135e-08 0.000000e+00 -1.575246e-09 -9.344657e-11 0.000000e+00 1.798052e-11
2.154435e-04 6.177815e-09 0.000000e+00 -7.289413e-10 -3.005886e-11 0.000000e+00 4.837688e-12
4.641589e-04 2.890071e-09 0.000000e+00 -2.588451e-10 -9.141469e-12 0.000000e+00 1.112618e-12
1.000000e-03 1.015854e-09 0.000000e+00 -6.300352e-11 -1.980394e-12 0.000000e+00 1.656637e-13
2.154435e-03 2.726666e-10 0.000000e+00 -1.074072e-11 -2.950222e-13 0.000000e+00 1.571292e-14
4.641589e-03 6.132395e-11 0.000000e+00 -1.438936e-12 -3.328340e-14 0.000000e+00 1.073316e-15
1.000000e-02 1.311660e-11 0.000000e+00 -1.792103e-13 -3.285713e-15 0.000000e+00 6.449900e-17
1.000000e-05 0.000000e+00 9.948482e-08 0.000000e+00 0.000000e+00 -1.665180e-08 0.000000e+00
2.154435e-05 0.000000e+00 3.776218e-08 0.000000e+00 0.000000e+00 -2.476215e-09 0.000000e+00
4.641589e-05 0.000000e+00 1.865720e-08 0.000000e+00 0.000000e+00 -3.759375e-10 0.000000e+00
1.000000e-04 0.000000e+00 1.099463e-08 0.000000e+00 0.000000e+00 -9.449813e-11 0.000000e+00
2.154435e-04 0.000000e+00 6.205398e-09 0.000000e+00 0.000000e+00 -3.029349e-11 0.000000e+00
4.641589e-04 0.000000e+00 2.897442e-09 0.000000e+00 0.000000e+00 -9.182271e-12 0.000000e+00
1.000000e-03 0.000000e+00 1.017072e-09 0.000000e+00 0.000000e+00 -1.984676e-12 0.000000e+00
2.154435e-03 0.000000e+00 2.727762e-10 0.000000e+00 0.000000e+00 -2.953110e-13 0.000000e+00
4.641589e-03 0.000000e+00 6.130976e-11 0.000000e+00 0.000000e+00 -3.330128e-14 0.000000e+00
1.000000e-02 0.000000e+00 1.309250e-11 0.000000e+00 0.000000e+00 -3.287416e-15 0.000000e+00
1.000000e-05 2.721658e-08 0.000000e+00 1.966164e-07 -6.092398e-09 0.000000e+00 -3.264371e-08
2.154435e-05 7.578651e-09 0.000000e+00 7.504220e-08 -6.399637e-10 0.000000e+00 -4.903429e-09
4.641589e-05 3.119069e-09 0.000000e+00 3.714520e-08 -7.882534e-11 0.000000e+00 -7.467943e-10
1.000000e-04 1.575246e-09 0.000000e+00 2.191598e-08 -1.798052e-11 0.000000e+00 -1.879447e-10
2.154435e-04 7.289413e-10 0.000000e+00 1.238321e-08 -4.837688e-12 0.000000e+00 -6.035235e-11
4.641589e-04 2.588451e-10 0.000000e+00 5.787513e-09 -1.112618e-12 0.000000e+00 -1.832374e-11
1.000000e-03 6.300352e-11 0.000000e+00 2.032926e-09 -1.656637e-13 0.000000e+00 -3.965070e-12
2.154435e-03 1.074072e-11 0.000000e+00 5.454427e-10 -1.571292e-14 0.000000e+00 -5.903332e-13
4.641589e-03 1.438936e-12 0.000000e+00 1.226337e-10 -1.073316e-15 0.000000e+00 -6.658468e-14
1.000000e-02 1.792103e-13 0.000000e+00 2.620909e-11 -6.449900e-17 0.000000e+00 -6.573130e-15
