# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 3.895027e-07 0.000000e+00 2.675080e-06 -1.003305e-07 0.000000e+00 -4.968191e-07
2.154435e-05 1.034138e-07 0.000000e+00 9.960252e-07 -9.711517e-09 0.000000e+00 -7.079728e-08
4.641589e-05 4.188236e-08 0.000000e+00 4.899576e-07 -1.187038e-09 0.000000e+00 -1.091742e-08
1.000000e-04 2.069147e-08 0.000000e+00 2.844483e-07 -2.459370e-10 0.000000e+00 -2.533763e-09
2.154435e-04 9.616530e-09 0.000000e+00 1.609794e-07 -6.651342e-11 0.000000e+00 -8.142940e-10
4.641589e-04 3.401863e-09 0.000000e+00 7.498731e-08 -1.504641e-11 0.000000e+00 -2.431016e-10
1.000000e-03 8.659034e-10 0.000000e+00 2.707419e-08 -2.412180e-12 0.000000e+00 -5.531345e-11
2.154435e-03 1.459025e-10 0.000000e+00 7.246042e-09 -2.245680e-13 0.000000e+00 -8.146763e-12
4.641589e-03 2.092668e-11 0.000000e+00 1.727226e-09 -1.671712e-14 0.000000e+00 -9.933796e-13
1.000000e-02 2.638900e-12 0.000000e+00 3.462058e-10 -1.003541e-15 0.000000e+00 -1.073125e-13
