# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 1.057295e-07 -9.069389e-15 -3.105214e-08 -1.937490e-08 -2.880447e-14 8.003973e-09
2.154435e-05 3.980806e-08 1.765242e-14 -8.231847e-09 -2.801985e-09 -7.277307e-15 7.764168e-10
4.641589e-05 1.967905e-08 4.170604e-14 -3.306340e-09 -4.355851e-10 -1.610387e-15 9.472589e-11
1.000000e-04 1.149203e-08 7.195316e-14 -1.628874e-09 -1.009096e-10 -1.267677e-15 1.933057e-11
2.154435e-04 6.549253e-09 3.265231e-14 -7.591132e-10 -3.278050e-11 -5.693218e-16 5.226328e-12
4.641589e-04 3.076848e-09 -3.582475e-14 -2.700026e-10 -9.837167e-12 -6.320853e-16 1.187592e-12
1.000000e-03 1.132059e-09 -5.554248e-14 -6.953233e-11 -2.258763e-12 1.346753e-16 1.910115e-13
2.154435e-03 3.056799e-10 -6.482975e-14 -1.217474e-11 -3.561241e-13 -2.541244e-17 1.848539e-14
4.641589e-03 5.601043e-11 -3.976758e-14 -1.232546e-12 -4.445623e-14 -3.752169e-19 1.596524e-15
1.000000e-02 4.842823e-12 -2.945582e-14 4.038824e-13 -2.350478e-15 -2.322407e-20 5.778551e-17
1.000000e-05 6.281891e-13 1.089666e-07 -1.484683e-13 1.173562e-14 -2.033937e-08 -7.496324e-15
2.154435e-05 6.796255e-13 4.057120e-08 -1.529552e-13 -6.709877e-16 -2.877235e-09 2.781788e-16
4.641589e-05 6.711763e-13 1.998970e-08 -8.193387e-14 -1.807179e-15 -4.432403e-10 2.625187e-16
1.000000e-04 6.611031e-13 1.167084e-08 3.569922e-15 -8.756482e-16 -1.027105e-10 3.489668e-17
2.154435e-04 5.780178e-13 6.630591e-09 2.454090e-14 3.101665e-16 -3.343262e-11 -5.610166e-17
4.641589e-04 4.618397e-13 3.102650e-09 2.072511e-14 1.864340e-16 -9.943490e-12 -1.110759e-16
1.000000e-03 4.294943e-13 1.141785e-09 1.305671e-14 1.797381e-16 -2.281311e-12 1.134748e-16
2.154435e-03 4.165828e-13 3.009132e-10 7.068221e-15 2.184896e-17 -3.637591e-13 3.590759e-17
4.641589e-03 4.120614e-13 5.106463e-11 1.846104e-14 -1.027163e-17 -4.268432e-14 4.254946e-18
1.000000e-02 4.107544e-13 3.821297e-12 2.328202e-14 -1.161456e-19 -2.013097e-15 6.669314e-19
1.000000e-05 3.116318e-08 8.059558e-13 2.135484e-07 -8.025091e-09 2.457463e-14 -3.968002e-08
2.154435e-05 8.274936e-09 8.673549e-13 7.948090e-08 -7.793220e-10 -4.391682e-15 -5.661214e-09
4.641589e-05 3.327409e-09 9.381210e-13 3.896724e-08 -9.530235e-11 6.961151e-16 -8.730964e-10
1.000000e-04 1.637038e-09 1.021998e-12 2.260160e-08 -1.948994e-11 -2.028469e-15 -2.009804e-10
2.154435e-04 7.608076e-10 1.093499e-12 1.281168e-08 -5.259317e-12 -3.797892e-16 -6.460774e-11
4.641589e-04 2.692999e-10 1.165376e-12 5.982440e-09 -1.191561e-12 1.147781e-16 -1.931601e-11
1.000000e-03 6.839419e-11 1.055290e-12 2.181204e-09 -1.906948e-13 -8.488472e-17 -4.373039e-12
2.154435e-03 1.144040e-11 9.540076e-13 6.210314e-10 -1.766658e-14 -8.247708e-17 -6.432525e-13
4.641589e-03 1.474597e-12 9.622849e-13 1.632183e-10 -1.448631e-15 -1.139413e-17 -9.173314e-14
1.000000e-02 -2.632242e-13 9.772706e-13 2.834049e-11 -1.079316e-16 -2.546165e-18 -9.742314e-15
