# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 1.191776e-07 0.000000e+00 -3.206886e-08 -1.639394e-08 0.000000e+00 6.259762e-09
2.154435e-05 5.245799e-08 0.000000e+00 -1.021233e-08 -3.270487e-09 0.000000e+00 8.688601e-10
4.641589e-05 2.217936e-08 0.000000e+00 -3.250008e-09 -7.158030e-10 0.000000e+00 1.360254e-10
1.000000e-04 8.232797e-09 0.000000e+00 -9.244533e-10 -1.459274e-10 0.000000e+00 2.047409e-11
2.154435e-04 2.416195e-09 0.000000e+00 -1.987490e-10 -2.564749e-11 0.000000e+00 2.678094e-12
4.641589e-04 5.088709e-10 0.000000e+00 -2.649473e-11 -2.986247e-12 0.000000e+00 2.049411e-13
1.000000e-03 1.027350e-10 0.000000e+00 -3.184285e-12 -2.460361e-13 0.000000e+00 1.040483e-14
2.154435e-03 2.811736e-11 0.000000e+00 -5.607804e-13 -2.487105e-14 0.000000e+00 7.514975e-16
4.641589e-03 9.299247e-12 0.000000e+00 -1.246408e-13 -3.533724e-15 0.000000e+00 8.412718e-17
1.000000e-02 3.197871e-12 0.000000e+00 -2.910362e-14 -5.613155e-16 0.000000e+00 1.082928e-17
1.000000e-05 0.000000e+00 1.218667e-07 0.000000e+00 0.000000e+00 -1.707322e-08 0.000000e+00
2.154435e-05 0.000000e+00 5.307558e-08 0.000000e+00 0.000000e+00 -3.337043e-09 0.000000e+00
4.641589e-05 0.000000e+00 2.232885e-08 0.000000e+00 0.000000e+00 -7.233895e-10 0.000000e+00
1.000000e-04 0.000000e+00 8.266337e-09 0.000000e+00 0.000000e+00 -1.468021e-10 0.000000e+00
2.154435e-04 0.000000e+00 2.421615e-09 0.000000e+00 0.000000e+00 -2.573675e-11 0.000000e+00
4.641589e-04 0.000000e+00 5.093057e-10 0.000000e+00 0.000000e+00 -2.991201e-12 0.000000e+00
1.000000e-03 0.000000e+00 1.027421e-10 0.000000e+00 0.000000e+00 -2.463406e-13 0.000000e+00
2.154435e-03 0.000000e+00 2.809603e-11 0.000000e+00 0.000000e+00 -2.491919e-14 0.000000e+00
4.641589e-03 0.000000e+00 9.275124e-12 0.000000e+00 0.000000e+00 -3.542163e-15 0.000000e+00
1.000000e-02 0.000000e+00 3.173572e-12 0.000000e+00 0.000000e+00 -5.622350e-16 0.000000e+00
1.000000e-05 3.206886e-08 0.000000e+00 2.410443e-07 -6.259762e-09 0.000000e+00 -3.346716e-08
2.154435e-05 1.021233e-08 0.000000e+00 1.055336e-07 -8.688601e-10 0.000000e+00 -6.607530e-09
4.641589e-05 3.250008e-09 0.000000e+00 4.450820e-08 -1.360254e-10 0.000000e+00 -1.439193e-09
1.000000e-04 9.244533e-10 0.000000e+00 1.649913e-08 -2.047409e-11 0.000000e+00 -2.927295e-10
2.154435e-04 1.987490e-10 0.000000e+00 4.837810e-09 -2.678094e-12 0.000000e+00 -5.138423e-11
4.641589e-04 2.649473e-11 0.000000e+00 1.018177e-09 -2.049411e-13 0.000000e+00 -5.977449e-12
1.000000e-03 3.184285e-12 0.000000e+00 2.054771e-10 -1.040483e-14 0.000000e+00 -4.923767e-13
2.154435e-03 5.607804e-13 0.000000e+00 5.621339e-11 -7.514975e-16 0.000000e+00 -4.979024e-14
4.641589e-03 1.246408e-13 0.000000e+00 1.857437e-11 -8.412718e-17 0.000000e+00 -7.075887e-15
1.000000e-02 2.910362e-14 0.000000e+00 6.371443e-12 -1.082928e-17 0.000000e+00 -1.123551e-15
