# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 4.523272e-07 0.000000e+00 3.247580e-06 -1.025675e-07 0.000000e+00 -5.082577e-07
2.154435e-05 1.376077e-07 0.000000e+00 1.386619e-06 -1.269647e-08 0.000000e+00 -9.266888e-08
4.641589e-05 4.417640e-08 0.000000e+00 5.887453e-07 -2.007366e-09 0.000000e+00 -2.033350e-08
1.000000e-04 1.227700e-08 0.000000e+00 2.152074e-07 -2.853418e-10 0.000000e+00 -3.976361e-09
2.154435e-04 2.731408e-09 0.000000e+00 6.454601e-08 -3.878620e-11 0.000000e+00 -7.184999e-10
4.641589e-04 3.626552e-10 0.000000e+00 1.354673e-08 -2.966123e-12 0.000000e+00 -8.325702e-11
1.000000e-03 4.534321e-11 0.000000e+00 2.820237e-09 -1.663886e-13 0.000000e+00 -7.580270e-12
2.154435e-03 7.029466e-12 0.000000e+00 7.084988e-10 -9.622179e-15 0.000000e+00 -7.064476e-13
4.641589e-03 1.288926e-12 0.000000e+00 2.110682e-10 -9.653868e-16 0.000000e+00 -1.025034e-13
1.000000e-02 -1.588305e-13 0.000000e+00 4.421750e-11 -1.241590e-16 0.000000e+00 -1.500477e-14
