# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 1.276110e-07 -4.549388e-13 -3.585727e-08 -1.980409e-08 1.741233e-15 8.170097e-09
2.154435e-05 5.486237e-08 -5.273094e-13 -1.088159e-08 -3.629270e-09 -2.982052e-15 1.003448e-09
4.641589e-05 2.350527e-08 -5.393636e-13 -3.498614e-09 -8.033100e-10 -1.619070e-15 1.586974e-10
1.000000e-04 8.652587e-09 -5.492178e-13 -9.744036e-10 -1.595072e-10 -9.257646e-17 2.262906e-11
2.154435e-04 2.558427e-09 -5.374278e-13 -2.146838e-10 -2.927151e-11 1.611509e-16 3.103747e-12
4.641589e-04 5.037128e-10 -5.266658e-13 -2.560971e-11 -3.220420e-12 5.014895e-17 2.306978e-13
1.000000e-03 1.031372e-10 -5.261607e-13 -1.882278e-12 -2.769200e-13 7.780709e-18 1.178881e-14
2.154435e-03 2.440591e-11 -5.263466e-13 8.748999e-13 -2.667757e-14 1.606205e-18 7.199806e-16
4.641589e-03 6.115033e-12 -5.263581e-13 1.305276e-12 -3.598276e-15 1.162392e-19 7.138812e-17
1.000000e-02 8.361772e-13 -5.263983e-13 1.400963e-12 -3.804353e-16 -2.340235e-19 6.010186e-18
1.000000e-05 1.740113e-13 1.311943e-07 -1.213072e-13 6.007399e-15 -2.078568e-08 1.699856e-14
2.154435e-05 1.879289e-13 5.573984e-08 -1.307459e-13 -2.073234e-15 -3.727470e-09 2.777261e-17
4.641589e-05 1.140421e-13 2.371785e-08 -1.134640e-13 -2.349657e-15 -8.158709e-10 1.016106e-15
1.000000e-04 4.955683e-14 8.662040e-09 -9.821084e-14 -3.263486e-17 -1.617373e-10 1.067903e-15
2.154435e-04 5.845026e-14 2.517758e-09 -9.351738e-14 2.251053e-16 -2.904831e-11 -1.037553e-16
4.641589e-04 7.472032e-14 5.097937e-10 -9.231624e-14 7.451686e-17 -3.132435e-12 3.381241e-17
1.000000e-03 7.966161e-14 1.096982e-10 -9.324179e-14 1.145754e-17 -2.892728e-13 5.579077e-18
2.154435e-03 8.177746e-14 2.575803e-11 -9.381606e-14 2.149343e-18 -2.902687e-14 -3.326506e-19
4.641589e-03 8.128201e-14 5.776470e-12 -9.566686e-14 -1.786980e-19 -3.923209e-15 7.689975e-19
1.000000e-02 8.113949e-14 5.537675e-14 -9.653130e-14 -1.260284e-20 -4.088186e-16 2.197199e-19
1.000000e-05 3.599344e-08 -6.170670e-13 2.577712e-07 -8.190735e-09 -2.660726e-15 -4.052691e-08
2.154435e-05 1.094597e-08 -6.267753e-13 1.100010e-07 -1.007108e-09 5.554251e-15 -7.326107e-09
4.641589e-05 3.528444e-09 -5.948730e-13 4.695545e-08 -1.597547e-10 -3.305789e-15 -1.608254e-09
1.000000e-04 9.829054e-10 -5.665198e-13 1.732076e-08 -2.283156e-11 -1.428371e-15 -3.169905e-10
2.154435e-04 2.183527e-10 -5.048462e-13 5.221986e-09 -3.110848e-12 2.532216e-16 -5.838151e-11
4.641589e-04 2.797824e-11 -4.624670e-13 1.045620e-09 -2.387873e-13 5.860768e-17 -6.786529e-12
1.000000e-03 2.742252e-12 -4.574575e-13 2.073606e-10 -1.263892e-14 3.059518e-19 -5.431480e-13
2.154435e-03 -6.420084e-14 -4.564108e-13 5.881768e-11 -7.070103e-16 -3.026661e-18 -5.284364e-14
4.641589e-03 -4.976488e-13 -4.556275e-13 1.836974e-11 -7.316281e-17 -2.915573e-18 -8.964858e-15
1.000000e-02 -5.970724e-13 -4.552773e-13 3.468384e-12 -7.016091e-18 -8.298059e-19 -1.425235e-15
