# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 3.394118e-10 -0.000000e+00 -2.778183e-10 -2.698538e-12 0.000000e+00 2.208831e-12
2.154435e-05 3.196338e-10 -0.000000e+00 -2.616295e-10 -1.781156e-12 0.000000e+00 1.457927e-12
4.641589e-05 2.917385e-10 -0.000000e+00 -2.387963e-10 -1.156151e-12 0.000000e+00 9.463428e-13
1.000000e-04 2.532386e-10 -0.000000e+00 -2.072830e-10 -7.303402e-13 0.000000e+00 5.978044e-13
2.154435e-04 2.019958e-10 -0.000000e+00 -1.653393e-10 -4.402386e-13 0.000000e+00 3.603480e-13
4.641589e-04 1.381297e-10 -0.000000e+00 -1.130631e-10 -2.425947e-13 0.000000e+00 1.985708e-13
1.000000e-03 6.882025e-11 -0.000000e+00 -5.633135e-11 -1.081266e-13 0.000000e+00 8.850472e-14
2.154435e-03 1.658670e-11 -0.000000e+00 -1.357669e-11 -2.558567e-14 0.000000e+00 2.094260e-14
4.641589e-03 7.837337e-13 -0.000000e+00 -6.415085e-13 -1.208616e-15 0.000000e+00 9.892868e-16
1.000000e-02 1.092326e-15 -0.000000e+00 -8.941003e-16 -1.684504e-18 0.000000e+00 1.378815e-18
1.000000e-05 0.000000e+00 3.782136e-10 0.000000e+00 0.000000e+00 -3.007036e-12 0.000000e+00
2.154435e-05 0.000000e+00 3.561745e-10 0.000000e+00 0.000000e+00 -1.984779e-12 0.000000e+00
4.641589e-05 0.000000e+00 3.250902e-10 0.000000e+00 0.000000e+00 -1.288323e-12 0.000000e+00
1.000000e-04 0.000000e+00 2.821889e-10 0.000000e+00 0.000000e+00 -8.138331e-13 0.000000e+00
2.154435e-04 0.000000e+00 2.250880e-10 0.000000e+00 0.000000e+00 -4.905669e-13 0.000000e+00
4.641589e-04 0.000000e+00 1.539208e-10 0.000000e+00 0.000000e+00 -2.703283e-13 0.000000e+00
1.000000e-03 0.000000e+00 7.668782e-11 0.000000e+00 0.000000e+00 -1.204877e-13 0.000000e+00
2.154435e-03 0.000000e+00 1.848290e-11 0.000000e+00 0.000000e+00 -2.851063e-14 0.000000e+00
4.641589e-03 0.000000e+00 8.733305e-13 0.000000e+00 0.000000e+00 -1.346786e-15 0.000000e+00
1.000000e-02 0.000000e+00 1.217201e-15 0.000000e+00 0.000000e+00 -1.877078e-18 0.000000e+00
1.000000e-05 2.778183e-10 0.000000e+00 1.458402e-09 -2.208831e-12 -0.000000e+00 -1.159522e-11
2.154435e-05 2.616295e-10 0.000000e+00 1.373419e-09 -1.457927e-12 -0.000000e+00 -7.653363e-12
4.641589e-05 2.387963e-10 0.000000e+00 1.253557e-09 -9.463428e-13 -0.000000e+00 -4.967810e-12
1.000000e-04 2.072830e-10 0.000000e+00 1.088129e-09 -5.978044e-13 -0.000000e+00 -3.138164e-12
2.154435e-04 1.653393e-10 0.000000e+00 8.679459e-10 -3.603480e-13 -0.000000e+00 -1.891640e-12
4.641589e-04 1.130631e-10 0.000000e+00 5.935230e-10 -1.985708e-13 -0.000000e+00 -1.042394e-12
1.000000e-03 5.633135e-11 0.000000e+00 2.957104e-10 -8.850472e-14 -0.000000e+00 -4.646040e-13
2.154435e-03 1.357669e-11 0.000000e+00 7.127059e-11 -2.094260e-14 -0.000000e+00 -1.099378e-13
4.641589e-03 6.415085e-13 0.000000e+00 3.367588e-12 -9.892868e-16 -0.000000e+00 -5.193243e-15
1.000000e-02 8.941003e-16 0.000000e+00 4.693563e-15 -1.378815e-18 -0.000000e+00 -7.238065e-18
