# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 3.782237e-10 -2.159270e-16 -3.138516e-10 -3.948012e-12 1.372418e-17 3.322443e-12
2.154435e-05 3.514593e-10 -4.197166e-16 -2.914086e-10 -2.332342e-12 4.846784e-17 1.952665e-12
4.641589e-05 3.172999e-10 -5.987583e-16 -2.628401e-10 -1.403570e-12 4.781224e-18 1.172878e-12
1.000000e-04 2.724438e-10 -9.385103e-16 -2.254060e-10 -8.422160e-13 2.727936e-17 7.020851e-13
2.154435e-04 2.153144e-10 -1.930924e-15 -1.778534e-10 -4.941948e-13 -1.318482e-17 4.108285e-13
4.641589e-04 1.456065e-10 -3.643763e-15 -1.200125e-10 -2.644852e-13 -7.733900e-18 2.190632e-13
1.000000e-03 7.288381e-11 -3.396736e-15 -5.991621e-11 -1.169700e-13 2.805446e-19 9.644008e-14
2.154435e-03 1.810909e-11 -2.866845e-15 -1.484292e-11 -2.799784e-14 9.012598e-19 2.298967e-14
4.641589e-03 1.232146e-12 -2.904040e-15 -9.931140e-13 -1.878253e-15 -9.495850e-20 1.540449e-15
1.000000e-02 1.650107e-14 -2.914312e-15 3.735625e-15 -6.082959e-18 4.417621e-22 4.986002e-18
1.000000e-05 1.265819e-17 4.229192e-10 -3.772991e-17 -2.019484e-18 -4.428695e-12 -9.612743e-18
2.154435e-05 1.672085e-17 3.929094e-10 -9.012793e-17 1.350640e-17 -2.614413e-12 -6.042108e-18
4.641589e-05 -9.841643e-17 3.546270e-10 -3.697435e-16 5.443608e-17 -1.572693e-12 2.074142e-17
1.000000e-04 -3.165253e-16 3.043821e-10 -9.015363e-16 1.260158e-17 -9.432094e-13 1.979094e-17
2.154435e-04 -1.431679e-15 2.404327e-10 -5.401266e-16 4.806781e-17 -5.529965e-13 -3.138649e-18
4.641589e-04 -3.466497e-15 1.624768e-10 5.302484e-16 2.906581e-19 -2.956421e-13 2.371551e-17
1.000000e-03 -5.423845e-15 8.126102e-11 -1.145549e-15 -7.007609e-18 -1.305392e-13 3.530058e-18
2.154435e-03 -6.917010e-15 2.017554e-11 -2.918259e-15 7.198490e-19 -3.120373e-14 1.163656e-18
4.641589e-03 -6.874033e-15 1.371433e-12 -3.271999e-15 1.055782e-20 -2.092154e-15 7.783259e-20
1.000000e-02 -6.855738e-15 1.732502e-14 -3.290307e-15 -1.268488e-21 -6.767941e-18 1.537884e-21
1.000000e-05 3.168338e-10 -2.516266e-16 1.605194e-09 -3.353755e-12 -7.780660e-17 -1.674476e-11
2.154435e-05 2.941799e-10 -5.298454e-16 1.492104e-09 -1.971004e-12 -7.126446e-17 -9.843438e-12
4.641589e-05 2.653441e-10 -1.274408e-15 1.347929e-09 -1.184103e-12 -2.062631e-17 -5.924403e-12
1.000000e-04 2.275581e-10 -2.689582e-15 1.158554e-09 -7.089862e-13 -8.785840e-17 -3.557042e-12
2.154435e-04 1.795595e-10 3.993573e-15 9.171028e-10 -4.146923e-13 1.632058e-16 -2.090419e-12
4.641589e-04 1.211784e-10 1.804647e-14 6.217200e-10 -2.211582e-13 1.263974e-16 -1.122948e-12
1.000000e-03 6.051032e-11 1.997847e-14 3.121071e-10 -9.738365e-14 -3.150497e-18 -4.992325e-13
2.154435e-03 1.500244e-11 1.942736e-14 7.768130e-11 -2.320857e-14 9.802097e-19 -1.201223e-13
4.641589e-03 1.018640e-12 2.131472e-14 5.209047e-12 -1.554793e-15 4.722374e-19 -8.072208e-15
1.000000e-02 1.214986e-14 2.153520e-14 -1.527908e-14 -5.035352e-18 5.050682e-22 -2.613065e-17
