# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 1.013902e-09 -0.000000e+00 -5.921908e-10 -2.666751e-11 0.000000e+00 1.557571e-11
2.154435e-05 8.377403e-10 -0.000000e+00 -4.892996e-10 -1.427305e-11 0.000000e+00 8.336474e-12
4.641589e-05 6.428897e-10 -0.000000e+00 -3.754931e-10 -7.017694e-12 0.000000e+00 4.098830e-12
1.000000e-04 4.465279e-10 -0.000000e+00 -2.608039e-10 -3.114497e-12 0.000000e+00 1.819087e-12
2.154435e-04 2.692252e-10 -0.000000e+00 -1.572466e-10 -1.226119e-12 0.000000e+00 7.161406e-13
4.641589e-04 1.288583e-10 -0.000000e+00 -7.526239e-11 -4.140393e-13 0.000000e+00 2.418283e-13
1.000000e-03 3.804160e-11 -0.000000e+00 -2.221899e-11 -1.023931e-13 0.000000e+00 5.980483e-14
2.154435e-03 3.358799e-12 -0.000000e+00 -1.961776e-12 -8.832219e-15 0.000000e+00 5.158641e-15
4.641589e-03 1.846254e-14 -0.000000e+00 -1.078343e-14 -4.853937e-17 0.000000e+00 2.835043e-17
1.000000e-02 2.497987e-19 -0.000000e+00 -1.459001e-19 -6.567391e-22 0.000000e+00 3.835821e-22
1.000000e-05 0.000000e+00 1.121573e-09 0.000000e+00 0.000000e+00 -2.949946e-11 0.000000e+00
2.154435e-05 0.000000e+00 9.267039e-10 0.000000e+00 0.000000e+00 -1.578878e-11 0.000000e+00
4.641589e-05 0.000000e+00 7.111612e-10 0.000000e+00 0.000000e+00 -7.762935e-12 0.000000e+00
1.000000e-04 0.000000e+00 4.939468e-10 0.000000e+00 0.000000e+00 -3.445240e-12 0.000000e+00
2.154435e-04 0.000000e+00 2.978154e-10 0.000000e+00 0.000000e+00 -1.356327e-12 0.000000e+00
4.641589e-04 0.000000e+00 1.425424e-10 0.000000e+00 0.000000e+00 -4.580081e-13 0.000000e+00
1.000000e-03 0.000000e+00 4.208142e-11 0.000000e+00 0.000000e+00 -1.132667e-13 0.000000e+00
2.154435e-03 0.000000e+00 3.715485e-12 0.000000e+00 0.000000e+00 -9.770154e-15 0.000000e+00
4.641589e-03 0.000000e+00 2.042316e-14 0.000000e+00 0.000000e+00 -5.369399e-17 0.000000e+00
1.000000e-02 0.000000e+00 2.763260e-19 0.000000e+00 0.000000e+00 -7.264813e-22 0.000000e+00
1.000000e-05 1.184382e-09 0.000000e+00 4.270952e-09 -3.115143e-11 -0.000000e+00 -1.123339e-10
2.154435e-05 9.785993e-10 0.000000e+00 3.528888e-09 -1.667295e-11 -0.000000e+00 -6.012366e-11
4.641589e-05 7.509862e-10 0.000000e+00 2.708102e-09 -8.197660e-12 -0.000000e+00 -2.956126e-11
1.000000e-04 5.216078e-10 0.000000e+00 1.880949e-09 -3.638173e-12 -0.000000e+00 -1.311947e-11
2.154435e-04 3.144931e-10 0.000000e+00 1.134081e-09 -1.432281e-12 -0.000000e+00 -5.164893e-12
4.641589e-04 1.505248e-10 0.000000e+00 5.428015e-10 -4.836565e-13 -0.000000e+00 -1.744095e-12
1.000000e-03 4.443798e-11 0.000000e+00 1.602460e-10 -1.196097e-13 -0.000000e+00 -4.313197e-13
2.154435e-03 3.923553e-12 0.000000e+00 1.414857e-11 -1.031728e-14 -0.000000e+00 -3.720475e-14
4.641589e-03 2.156686e-14 0.000000e+00 7.777141e-14 -5.670085e-17 -0.000000e+00 -2.044667e-16
1.000000e-02 2.918003e-19 0.000000e+00 1.052250e-18 -7.671643e-22 -0.000000e+00 -2.766441e-21
