# TIME HX HY HZ DBDTX DBDTY DBDTZ
1.000000e-05 7.195068e-10 -9.909400e-16 -5.973607e-10 -2.250282e-11 -6.720153e-17 1.867539e-11
2.154435e-05 5.786721e-10 -1.671667e-15 -4.799795e-10 -1.127211e-11 -5.890595e-17 9.414358e-12
4.641589e-05 4.348586e-10 -5.777834e-16 -3.599697e-10 -5.231422e-12 -4.928758e-17 4.359338e-12
1.000000e-04 2.955373e-10 1.117004e-15 -2.441176e-10 -2.195177e-12 3.202381e-18 1.821829e-12
2.154435e-04 1.763011e-10 -2.634853e-16 -1.453454e-10 -8.436362e-13 -3.476714e-17 6.977175e-13
4.641589e-04 8.327512e-11 -3.045370e-15 -6.851854e-11 -2.769502e-13 -2.032211e-17 2.283723e-13
1.000000e-03 2.530540e-11 -2.039271e-15 -2.077996e-11 -7.012245e-14 3.905177e-19 5.765533e-14
2.154435e-03 2.429508e-12 -1.299041e-15 -1.986417e-12 -6.460206e-15 1.767939e-20 5.301272e-15
4.641589e-03 3.242320e-14 -1.285002e-15 -1.953402e-14 -8.643997e-17 -1.090412e-21 7.090570e-17
1.000000e-02 -1.393942e-16 -1.289483e-15 7.179068e-15 -9.830785e-21 5.048710e-22 1.029148e-20
1.000000e-05 -2.829888e-16 8.039451e-10 -2.641661e-16 -5.816114e-18 -2.517765e-11 -3.958188e-17
2.154435e-05 -5.431194e-16 6.463604e-10 -4.692242e-16 8.074717e-17 -1.261175e-11 -9.109456e-18
4.641589e-05 -1.128157e-15 4.855169e-10 -5.758834e-16 -8.317450e-17 -5.848961e-12 2.150363e-17
1.000000e-04 -2.029162e-15 3.298190e-10 -7.593063e-16 9.612743e-18 -2.452285e-12 1.001664e-17
2.154435e-04 -1.164069e-15 1.966679e-10 -1.218047e-15 1.843232e-17 -9.417259e-13 -6.757981e-19
4.641589e-04 5.054141e-16 9.285538e-11 -1.791145e-15 1.800615e-17 -3.089532e-13 2.410921e-18
1.000000e-03 -1.534332e-16 2.820555e-11 -3.444660e-16 -2.807083e-19 -7.816409e-14 2.294134e-18
2.154435e-03 -6.304017e-16 2.709731e-12 4.771520e-16 4.625976e-20 -7.196537e-15 3.054104e-19
4.641589e-03 -6.556563e-16 3.926067e-14 5.411878e-16 4.904802e-23 -9.628494e-17 -1.831366e-21
1.000000e-02 -6.552845e-16 2.995056e-15 5.437564e-16 -7.886637e-22 -9.972977e-21 -6.579100e-22
1.000000e-05 6.031121e-10 1.197130e-15 3.082551e-09 -1.885173e-11 -2.059189e-17 -9.488841e-11
2.154435e-05 4.846137e-10 2.130917e-15 2.482812e-09 -9.505071e-12 6.974058e-18 -4.829649e-11
4.641589e-05 3.634421e-10 2.141100e-15 1.865367e-09 -4.402153e-12 7.669435e-17 -2.247109e-11
1.000000e-04 2.464571e-10 2.141928e-15 1.267213e-09 -1.839661e-12 -7.110350e-17 -9.418920e-12
2.154435e-04 1.467344e-10 6.364836e-15 7.559509e-10 -7.044609e-13 4.824260e-17 -3.615510e-12
4.641589e-04 6.918216e-11 1.264998e-14 3.572548e-10 -2.305548e-13 5.694628e-17 -1.187136e-12
1.000000e-03 2.098473e-11 1.616327e-14 1.086385e-10 -5.819283e-14 1.246792e-17 -3.008968e-13
2.154435e-03 2.008199e-12 1.754202e-14 1.039291e-11 -5.350244e-15 1.779479e-18 -2.776752e-14
4.641589e-03 2.236028e-14 1.764561e-14 8.675757e-14 -7.162233e-17 1.354588e-20 -3.717036e-16
1.000000e-02 -4.609040e-15 1.768004e-14 -5.325558e-14 -9.949903e-21 -1.281899e-21 -4.212182e-20
